,City,Lat,Long,Max_Temp,Date,Humidity,Cloudiness,Wind_Speed,Country
136,flin flon,54.77,-101.86,17.0,1592761876,59,20,5.1,CA
137,shakawe,-18.37,21.85,14.24,1592761876,36,0,1.99,BW
138,richards bay,-28.78,32.04,16.89,1592761876,66,0,0.99,ZA
140,tuktoyaktuk,69.45,-133.04,4.0,1592761877,86,90,3.6,CA
141,san policarpo,12.18,125.51,27.96,1592761877,81,16,3.46,PH
142,the valley,18.22,-63.06,33.0,1592761877,70,40,6.7,AI
143,vila do maio,15.13,-23.22,30.0,1592761877,58,20,8.2,CV
144,saint-francois,46.42,3.91,21.11,1592761877,60,90,4.6,FR
145,raahe,64.68,24.48,22.0,1592761877,43,0,3.1,FI
146,isangel,-19.55,169.27,21.43,1592761877,80,44,5.87,VU
147,necochea,-38.55,-58.74,13.33,1592761877,82,26,2.68,AR
148,zyryanka,65.75,150.85,21.68,1592761877,39,19,5.55,RU
149,santa cruz,-17.8,-63.17,30.0,1592761878,66,40,10.3,BO
150,luganville,-15.53,167.17,25.3,1592761878,87,97,4.82,VU
151,labytnangi,66.66,66.42,7.91,1592761878,75,100,2.02,RU
152,cidreira,-30.18,-50.21,25.6,1592761878,55,0,5.05,BR
153,torgau,51.57,13.0,23.0,1592761878,40,40,4.1,DE
154,mineros,-17.12,-63.23,30.0,1592761878,66,40,10.3,BO
155,noordwijkerhout,52.25,4.48,21.11,1592761878,63,91,0.89,NL
156,kodiak,57.79,-152.41,11.0,1592761878,81,90,6.2,US
157,georgetown,5.41,100.34,28.0,1592761879,94,20,1.5,MY
158,saint-georges,12.06,-61.75,28.75,1592761879,72,0,7.86,GD
159,qaqortoq,60.72,-46.03,16.0,1592761879,36,100,2.6,GL
160,arman,59.7,150.17,11.18,1592761879,80,0,0.7,RU
161,staunton,38.15,-79.07,27.78,1592761833,65,1,4.1,US
162,lorengau,-2.02,147.27,26.77,1592761879,77,3,1.17,PG
163,butaritari,3.07,172.79,28.68,1592761879,77,100,7.57,KI
164,pelym,61.01,62.0,7.86,1592761879,85,98,3.69,RU
165,kasongo-lunda,-6.47,16.82,23.45,1592761880,27,0,1.38,CD
166,vao,-22.67,167.48,20.53,1592761880,59,34,3.47,NC
167,karlstad,59.38,13.5,23.33,1592761595,56,61,2.6,SE
168,makokou,0.57,12.86,22.09,1592761880,94,80,1.04,GA
169,ilulissat,69.22,-51.1,6.0,1592761880,75,40,2.6,GL
170,dabakala,8.37,-4.43,28.61,1592761880,72,25,2.87,CI
171,hambantota,6.12,81.12,27.85,1592761880,78,100,7.97,LK
172,lazaro cardenas,17.96,-102.2,34.02,1592761881,45,77,2.16,MX
173,dicabisagan,17.08,122.42,26.67,1592761881,82,88,1.54,PH
174,korla,41.76,86.15,26.67,1592761881,73,0,1.34,CN
175,high level,58.52,-117.14,21.0,1592761881,60,20,5.1,CA
176,nantucket,41.28,-70.1,20.0,1592761881,88,90,3.1,US
177,rock sound,24.9,-76.2,27.92,1592761881,77,89,3.86,BS
178,asfi,32.3,-9.24,23.53,1592761843,62,0,11.04,MA
179,peterhead,57.51,-1.8,16.11,1592761881,72,45,2.6,GB
180,srednekolymsk,67.45,153.68,24.4,1592761881,39,0,2.84,RU
181,gogrial,8.53,28.1,27.38,1592761881,64,24,2.2,SS
182,kortkeros,61.81,51.58,8.0,1592761882,81,90,2.0,RU
184,iqaluit,63.75,-68.51,6.0,1592761670,70,75,3.1,CA
185,rundu,-17.93,19.77,19.0,1592761882,34,0,1.0,NA
186,abu kamal,34.45,40.92,30.57,1592761882,25,0,4.5,SY
187,chicama,-7.84,-79.15,23.16,1592761882,57,45,4.43,PE
188,jardim,-21.48,-56.14,30.67,1592761882,36,0,4.15,BR
189,sochi,43.6,39.73,23.0,1592761773,78,20,2.0,RU
190,carutapera,-1.2,-46.02,27.03,1592761882,87,1,3.96,BR
191,goure,13.98,10.27,38.33,1592761882,8,1,2.68,NE
192,boende,-0.22,20.87,26.85,1592761883,52,74,0.62,CD
193,tigil,57.8,158.67,9.36,1592761883,81,3,0.92,RU
194,sydney,-33.87,151.21,10.56,1592761232,71,26,3.1,AU
195,port hedland,-20.32,118.57,16.0,1592761883,41,0,4.1,AU
196,san matias,-16.37,-58.4,34.46,1592761883,27,0,4.16,BO
197,bud,39.45,-86.18,25.56,1592761883,73,75,2.6,US
198,sorland,67.67,12.69,18.0,1592761883,63,23,3.6,NO
199,mlonggo,-6.53,110.7,25.66,1592761883,85,100,1.87,ID
200,udachnyy,66.42,112.4,19.0,1592761883,48,40,4.0,RU
201,sergeyevka,53.88,67.42,12.91,1592761883,92,100,2.47,KZ
202,kushmurun,52.45,64.63,15.61,1592761884,83,73,4.82,KZ
203,provideniya,64.38,-173.3,12.74,1592761884,49,0,1.82,RU
204,tahta,26.77,31.5,40.0,1592761884,10,0,4.6,EG
205,hilvarenbeek,51.49,5.14,23.0,1592761884,56,75,3.1,NL
206,bambous virieux,-20.34,57.76,22.78,1592761884,78,40,6.7,MU
207,lasa,46.62,10.7,14.0,1592761884,62,40,4.1,IT
208,mount isa,-20.73,139.5,13.0,1592761884,37,0,5.1,AU
209,bilibino,68.05,166.44,21.99,1592761884,41,19,2.14,RU
210,codrington,-38.27,141.97,6.18,1592761884,95,23,3.53,AU
211,inhambane,-23.86,35.38,19.0,1592761885,88,0,1.0,MZ
212,haines junction,60.75,-137.51,10.02,1592761885,53,98,3.09,CA
213,poum,-20.23,164.02,21.71,1592761885,74,20,5.09,NC
214,khao yoi,13.24,99.82,25.56,1592761885,76,74,1.96,TH
215,sinop,41.77,34.87,16.01,1592761885,84,14,1.0,TR
216,ushumun,52.78,126.53,9.99,1592761885,99,100,3.0,RU
217,pinar del rio,22.42,-83.7,31.81,1592761885,60,33,3.23,CU
219,sao joao da barra,-21.64,-41.05,29.0,1592761886,54,0,7.2,BR
220,wewak,-3.55,143.63,26.23,1592761886,82,64,1.17,PG
221,helong,42.54,129.0,17.36,1592761886,87,100,1.44,CN
222,hamilton,39.18,-84.53,31.67,1592761723,45,20,4.76,US
223,puerto ayora,-0.74,-90.35,25.0,1592761886,73,40,6.7,EC
224,shumikha,55.23,63.3,8.03,1592761886,75,19,3.04,RU
225,pevek,69.7,170.31,6.28,1592761886,75,51,1.2,RU
226,redlands,34.06,-117.18,25.0,1592761770,60,9,2.4,US
227,prince rupert,54.32,-130.32,12.0,1592761792,76,90,2.6,CA
228,barrow,71.29,-156.79,5.0,1592761887,86,90,7.7,US
229,riyadh,24.69,46.72,36.0,1592761623,14,0,4.1,SA
230,outjo,-20.12,16.15,14.61,1592761887,33,1,3.47,NA
231,lata,40.16,-8.33,25.0,1592761887,62,0,3.58,PT
232,hervey bay,-25.3,152.85,16.11,1592761887,90,1,1.79,AU
233,plast,54.37,60.81,9.34,1592761754,76,17,3.45,RU
234,amazar,53.86,120.88,10.59,1592761887,92,79,1.46,RU
235,namatanai,-3.67,152.43,26.89,1592761887,78,31,1.6,PG
236,tombouctou,20.0,-3.0,44.17,1592761887,6,2,6.06,ML
237,saskylakh,71.92,114.08,12.16,1592761887,62,76,4.25,RU
238,zhigansk,66.77,123.37,16.55,1592761888,83,99,3.62,RU
239,ostrovnoy,68.05,39.51,14.89,1592761888,51,98,4.92,RU
240,mitsamiouli,-11.38,43.28,25.93,1592761888,80,75,7.74,KM
241,palmer,42.16,-72.33,32.78,1592761888,35,40,2.6,US
242,nalut,30.33,10.85,29.71,1592761888,18,0,5.94,LY
243,alakurtti,66.97,30.35,20.56,1592761888,31,92,1.34,RU
244,abay,49.63,72.85,7.0,1592761888,87,8,1.0,KZ
245,vila velha,-20.33,-40.29,27.0,1592761888,69,40,6.2,BR
